id,totalCost,neighbourhood,bedrooms,url
894421314,2705,Floresta,3,https://www.quintoandar.com.br/imovel/894421314/
893254910,2785,Colégio Batista,3,https://www.quintoandar.com.br/imovel/893254910/
893043593,2670,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893043593/
893292304,2521,Santo Agostinho,3,https://www.quintoandar.com.br/imovel/893292304/
892904265,2413,Santo Antônio,2,https://www.quintoandar.com.br/imovel/892904265/
893274682,2316,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893274682/
893427586,2233,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893427586/
893281208,2109,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893281208/
893628176,1969,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893628176/
894435382,2382,Serra,2,https://www.quintoandar.com.br/imovel/894435382/
893096330,2217,Cidade Jardim,2,https://www.quintoandar.com.br/imovel/893096330/
894151222,2884,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894151222/
894436500,2698,Serra,3,https://www.quintoandar.com.br/imovel/894436500/
893074566,2990,Cruzeiro,3,https://www.quintoandar.com.br/imovel/893074566/
893207168,1866,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893207168/
894113998,2783,Serra,3,https://www.quintoandar.com.br/imovel/894113998/
893499614,2850,Cruzeiro,2,https://www.quintoandar.com.br/imovel/893499614/
894235612,2071,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894235612/
894439735,2999,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894439735/
892856866,2929,Prado,5,https://www.quintoandar.com.br/imovel/892856866/
893157513,2493,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/893157513/
894440717,1981,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894440717/
893155461,2675,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893155461/
894260350,1525,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894260350/
893364710,2473,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893364710/
894443182,2878,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894443182/
894401899,1948,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894401899/
893111895,1920,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893111895/
893746259,2071,São Lucas,2,https://www.quintoandar.com.br/imovel/893746259/
894445219,2328,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894445219/
893398302,1961,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893398302/
892963523,1953,Sagrada Família,3,https://www.quintoandar.com.br/imovel/892963523/
893539528,2656,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893539528/
892950051,2480,Santa Tereza,3,https://www.quintoandar.com.br/imovel/892950051/
893991118,2018,Floresta,3,https://www.quintoandar.com.br/imovel/893991118/
894434107,2005,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894434107/
894323369,2995,Santo Antônio,3,https://www.quintoandar.com.br/imovel/894323369/
893212252,1790,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893212252/
893573599,2929,Santo Antônio,2,https://www.quintoandar.com.br/imovel/893573599/
894449428,2578,Santo Antônio,2,https://www.quintoandar.com.br/imovel/894449428/
894413358,2978,Serra,3,https://www.quintoandar.com.br/imovel/894413358/
893946969,2985,Santo Antônio,3,https://www.quintoandar.com.br/imovel/893946969/
894451070,1775,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894451070/
894422913,2388,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894422913/
893290881,2749,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893290881/
894393658,2035,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894393658/
894448195,2781,Serra,2,https://www.quintoandar.com.br/imovel/894448195/
893309403,2538,Gutierrez,2,https://www.quintoandar.com.br/imovel/893309403/
893074979,2486,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893074979/
893217396,2900,Anchieta,2,https://www.quintoandar.com.br/imovel/893217396/
893414812,2232,Serra,3,https://www.quintoandar.com.br/imovel/893414812/
894309887,2534,São Lucas,3,https://www.quintoandar.com.br/imovel/894309887/
893166610,2264,Santa Tereza,2,https://www.quintoandar.com.br/imovel/893166610/
894459231,2370,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894459231/
894459228,2183,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894459228/
892869661,2666,Gutierrez,4,https://www.quintoandar.com.br/imovel/892869661/
894111631,2020,São Lucas,2,https://www.quintoandar.com.br/imovel/894111631/
893787727,2207,Santa Lúcia,2,https://www.quintoandar.com.br/imovel/893787727/
894461773,2702,Serra,2,https://www.quintoandar.com.br/imovel/894461773/
894428713,2990,Santo Antônio,3,https://www.quintoandar.com.br/imovel/894428713/
893187085,2048,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893187085/
893228577,1672,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893228577/
894433568,2954,São Lucas,3,https://www.quintoandar.com.br/imovel/894433568/
894464678,2773,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894464678/
892940731,2392,Santo Antônio,2,https://www.quintoandar.com.br/imovel/892940731/
894462217,1916,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894462217/
892942586,2913,Sagrada Família,4,https://www.quintoandar.com.br/imovel/892942586/
893329674,2590,São Lucas,2,https://www.quintoandar.com.br/imovel/893329674/
892946957,2260,Sagrada Família,3,https://www.quintoandar.com.br/imovel/892946957/
893816873,2831,Floresta,2,https://www.quintoandar.com.br/imovel/893816873/
893801916,2774,Floresta,2,https://www.quintoandar.com.br/imovel/893801916/
893572603,1788,Serra,3,https://www.quintoandar.com.br/imovel/893572603/
894349283,2774,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894349283/
894474458,1722,Santa Efigênia,2,https://www.quintoandar.com.br/imovel/894474458/
893460081,2400,Sagrada Família,3,https://www.quintoandar.com.br/imovel/893460081/
894471559,1778,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894471559/
894478152,2217,Santo Antônio,3,https://www.quintoandar.com.br/imovel/894478152/
893119411,1835,Sagrada Família,2,https://www.quintoandar.com.br/imovel/893119411/
894287337,2629,Alto Barroca,3,https://www.quintoandar.com.br/imovel/894287337/
894357660,2712,Colégio Batista,2,https://www.quintoandar.com.br/imovel/894357660/
894465142,2949,Sagrada Família,3,https://www.quintoandar.com.br/imovel/894465142/
894302576,2604,Santa Efigênia,3,https://www.quintoandar.com.br/imovel/894302576/
894475928,2636,Sagrada Família,2,https://www.quintoandar.com.br/imovel/894475928/
